name:instance2_n_30_N_60_tf_0.6_rdd_0.6_mMax_1_m0_1_Vmax_2.0_V0_1.0
N:60
n:30
M_max:1
M_0:1
V_max:2
V_0:1
Jobs:
72	12	10	
47	27	6	
5	6	8	
58	21	3	
92	67	2	
68	26	2	
3	50	5	
81	13	2	
60	0	8	
9	19	4	
14	22	2	
74	18	5	
83	0	5	
47	13	8	
29	4	4	
54	14	4	
54	20	6	
13	55	3	
70	22	3	
79	11	3	
91	25	9	
84	0	9	
3	20	5	
10	59	10	
93	9	2	
53	57	10	
42	40	7	
8	22	9	
13	31	8	
25	21	7	
3	13	10	
98	30	2	
10	66	9	
54	60	8	
31	38	7	
87	8	2	
39	47	3	
99	17	5	
97	33	1	
4	39	7	
64	68	4	
17	17	1	
80	20	2	
46	46	2	
100	54	9	
25	30	2	
69	61	6	
27	46	10	
32	19	6	
11	5	6	
24	33	4	
36	11	5	
16	54	2	
83	39	2	
46	26	7	
66	69	1	
61	41	3	
21	18	5	
20	54	8	
72	35	7	
