name:instance6_n_30_N_60_tf_0.6_rdd_0.8_mMax_1_m0_1_Vmax_2.0_V0_1.0
N:60
n:30
M_max:1
M_0:1
V_max:2
V_0:1
Jobs:
86	64	2	
5	42	4	
21	11	7	
70	75	7	
5	31	7	
40	51	5	
42	76	7	
29	31	8	
99	64	5	
47	65	7	
93	57	8	
57	54	4	
71	42	2	
19	21	6	
46	67	5	
15	13	5	
33	22	8	
27	4	4	
64	16	4	
49	74	1	
29	70	10	
61	68	10	
22	12	9	
78	24	9	
45	25	5	
83	13	10	
52	56	1	
34	77	6	
43	45	9	
59	24	6	
29	41	7	
18	61	7	
33	28	8	
61	8	3	
8	56	1	
60	22	8	
53	59	3	
73	24	9	
51	76	1	
47	66	3	
57	40	2	
9	78	4	
29	25	3	
60	69	4	
75	54	5	
49	70	9	
47	9	1	
2	57	5	
27	20	4	
43	74	10	
63	74	8	
37	42	7	
60	26	8	
42	75	1	
71	10	1	
77	28	10	
78	61	1	
92	70	4	
68	29	3	
6	34	1	
