name:instance7_n_30_N_60_tf_0.4_rdd_1.0_mMax_1_m0_1_Vmax_2.0_V0_1.0
N:60
n:30
M_max:1
M_0:1
V_max:2
V_0:1
Jobs:
39	58	1	
6	81	1	
10	81	9	
74	88	1	
22	13	10	
15	88	1	
61	93	8	
99	51	2	
10	11	7	
57	46	9	
98	17	1	
36	17	2	
91	25	5	
11	21	5	
32	15	1	
45	70	4	
93	35	6	
39	71	7	
30	13	8	
59	101	2	
5	38	3	
67	103	6	
81	22	1	
36	25	2	
37	78	4	
92	5	2	
18	68	3	
49	16	4	
83	58	6	
13	24	6	
85	73	8	
93	42	9	
85	19	7	
1	69	7	
11	78	5	
86	7	5	
41	6	1	
30	21	8	
46	66	7	
66	20	7	
9	56	9	
72	9	2	
57	91	8	
38	18	3	
65	80	8	
44	78	1	
6	85	7	
100	17	4	
31	94	10	
11	5	3	
87	0	6	
20	3	7	
76	32	9	
5	50	1	
80	33	10	
25	63	4	
92	39	5	
13	90	4	
79	85	8	
7	45	3	
