name:instance4_n_30_N_60_tf_1.0_rdd_0.6_mMax_1_m0_1_Vmax_2.0_V0_1.0
N:60
n:30
M_max:1
M_0:1
V_max:2
V_0:1
Jobs:
16	28	2	
9	15	4	
37	16	8	
89	12	7	
91	25	2	
13	28	6	
18	27	3	
3	6	10	
79	30	5	
19	26	1	
66	10	2	
10	0	3	
59	12	9	
94	6	1	
45	13	1	
57	14	4	
80	21	5	
80	13	5	
25	27	6	
18	26	5	
55	28	3	
7	24	1	
11	24	1	
97	6	7	
54	0	3	
35	21	3	
85	1	4	
41	23	4	
25	1	9	
82	28	1	
40	19	1	
73	12	7	
38	17	6	
56	15	8	
88	16	7	
61	2	2	
66	30	8	
87	4	5	
22	15	10	
23	29	6	
10	6	10	
15	30	4	
47	21	9	
50	6	8	
48	8	2	
11	21	2	
39	24	2	
2	6	7	
14	24	4	
57	26	1	
47	10	7	
6	29	10	
70	19	3	
6	2	9	
83	23	3	
90	19	9	
92	9	6	
47	15	9	
39	13	5	
24	20	5	
