name:instance9
N:120
n:120
M_max:3
M_0:2
V_max:10
V_0:5
Jobs:
1	2	1	
1	6	5	
4	7	15	
7	7	13	
6	10	9	
2	7	4	
4	3	14	
2	3	7	
6	6	18	
6	4	14	
1	2	4	
9	7	18	
7	10	1	
10	10	14	
8	7	10	
10	1	11	
5	3	15	
3	5	19	
2	4	5	
10	4	5	
7	1	8	
8	8	11	
9	4	3	
5	4	6	
3	3	20	
4	1	5	
6	8	15	
6	2	19	
3	7	16	
3	6	16	
3	10	13	
3	8	16	
8	4	1	
9	9	15	
1	2	12	
7	2	15	
3	1	13	
4	3	5	
3	1	2	
9	10	5	
9	2	14	
7	9	2	
5	4	18	
1	5	2	
9	3	13	
7	10	13	
7	9	3	
6	4	6	
5	7	16	
8	3	5	
1	3	20	
6	5	20	
1	7	15	
2	10	7	
5	3	12	
10	9	13	
10	2	2	
1	5	2	
2	3	11	
1	1	7	
3	5	10	
1	8	2	
4	4	14	
9	2	8	
1	9	3	
6	5	12	
2	4	1	
10	8	15	
9	9	15	
2	9	9	
6	4	2	
9	1	5	
7	5	10	
10	5	16	
1	8	1	
8	10	20	
5	7	18	
9	10	16	
3	10	13	
4	3	17	
5	1	6	
5	7	14	
4	8	18	
6	7	6	
4	2	12	
6	6	16	
3	9	11	
8	6	3	
2	6	20	
10	4	6	
5	3	6	
4	10	13	
10	6	11	
10	9	4	
9	7	5	
6	7	16	
6	9	17	
2	5	14	
2	9	20	
4	7	15	
3	9	19	
8	9	18	
2	5	8	
10	8	3	
3	1	10	
5	4	2	
9	9	19	
6	9	8	
8	6	1	
2	10	15	
5	4	15	
2	7	9	
8	4	7	
3	8	12	
2	9	4	
1	1	4	
4	7	1	
2	7	3	
7	3	16	
8	6	2	
